DATASET_COLORSTRIP
SEPARATOR COMMA
DATASET_LABEL,superkingdom unchar
COLOR,#2E2D97
COLOR_BRANCHES,1
STRIP_WIDTH,50
DATA
bfd_007073,#BF8F6B
bfd_014938,#BF8F6B
bfd_020803,#BF8F6B
bfd_093456,#BF8F6B
bfd_000275,#C3CAD7
bfd_066373,#BF8F6B
bfd_122025,#BF8F6B
bfd_018399,#BF8F6B
bfd_072351,#BF8F6B
bfd_004284,#BF8F6B
bfd_000926,#C3CAD7
bfd_035214,#BF8F6B
bfd_079903,#995FBC
bfd_029378,#C3CAD7
bfd_000951,#BF8F6B
bfd_019550,#C3CAD7
bfd_037014,#C3CAD7
bfd_000900,#BF8F6B
bfd_073293,#BF8F6B
bfd_031965,#995FBC
bfd_111556,#BF8F6B
bfd_008263,#C3CAD7
bfd_035949,#BF8F6B
bfd_046723,#BF8F6B
bfd_009770,#C3CAD7
bfd_000949,#BF8F6B
bfd_024921,#BF8F6B
bfd_011178,#BF8F6B
bfd_005431,#BF8F6B
bfd_084025,#BF8F6B
bfd_017748,#C3CAD7
bfd_104440,#BF8F6B
bfd_043491,#C3CAD7
bfd_012686,#C3CAD7
bfd_009509,#C3CAD7
bfd_038032,#BF8F6B
bfd_122493,#BF8F6B
bfd_029438,#BF8F6B
bfd_051710,#995FBC
bfd_023414,#BF8F6B
bfd_040493,#BF8F6B
bfd_059951,#BF8F6B
bfd_123040,#BF8F6B
bfd_050714,#C3CAD7
bfd_156647,#BF8F6B
bfd_017830,#C3CAD7
bfd_093226,#BF8F6B
bfd_016800,#BF8F6B
bfd_106011,#BF8F6B
bfd_027711,#BF8F6B
bfd_123721,#BF8F6B
bfd_024508,#995FBC
bfd_000342,#C3CAD7
bfd_054037,#BF8F6B
bfd_008827,#C3CAD7
bfd_021413,#C3CAD7
bfd_056998,#BF8F6B
bfd_093007,#BF8F6B
bfd_104784,#BF8F6B
bfd_052316,#C3CAD7
bfd_061505,#BF8F6B
bfd_054940,#BF8F6B
bfd_064484,#BF8F6B
bfd_056473,#BF8F6B
bfd_017253,#995FBC
