,cluster,total_size,n_characterized,most_unique_product_count_mean,network_size
773,1399,3,0,0.0,1
774,1428,3,0,0.0,1
775,1429,3,0,0.0,1
776,390,3,0,0.0,1
777,653,3,0,0.0,1
778,1430,3,0,0.0,1
779,686,3,0,0.0,1
780,698,3,0,0.0,1
781,1352,3,0,0.0,1
782,600,3,0,0.0,1
783,1424,3,0,0.0,1
784,651,3,0,0.0,1
785,1157,3,0,0.0,1
786,1038,3,0,0.0,1
787,590,3,0,0.0,1
788,347,3,0,0.0,3
789,712,3,0,0.0,1
790,1206,3,0,0.0,1
791,1421,3,0,0.0,1
792,1423,3,0,0.0,1
793,1341,3,0,0.0,3
794,163,3,0,0.0,1
795,1133,3,0,0.0,1
796,586,3,0,0.0,1
797,1383,3,0,0.0,1
798,1340,3,0,0.0,1
799,362,3,0,0.0,1
800,1404,3,0,0.0,1
801,584,3,0,0.0,1
802,591,3,0,0.0,1
803,337,3,0,0.0,1
804,1345,3,0,0.0,1
805,1326,3,0,0.0,1
806,757,3,0,0.0,1
807,400,3,0,0.0,1
808,761,3,0,0.0,1
809,1317,3,0,0.0,1
810,763,3,0,0.0,1
811,310,3,0,0.0,1
812,563,3,0,0.0,1
813,1315,3,0,0.0,1
814,768,3,0,0.0,1
815,769,3,0,0.0,1
816,1130,3,0,0.0,1
817,1135,3,0,0.0,1
818,379,3,0,0.0,1
819,1408,3,0,0.0,1
820,1396,3,0,0.0,1
821,1435,3,0,0.0,1
822,560,3,0,0.0,1
823,774,3,0,0.0,1
824,614,3,0,0.0,3
825,305,3,0,0.0,1
826,332,3,0,0.0,1
827,1434,3,0,0.0,1
828,1414,3,0,0.0,1
829,680,3,0,0.0,1
830,1431,3,0,0.0,1
831,1432,3,0,0.0,1
832,68,3,0,0.0,1
833,1027,3,0,0.0,1
834,1433,3,0,0.0,1
835,367,3,0,0.0,1
836,160,3,0,0.0,1
837,566,3,0,0.0,1
838,1320,3,0,0.0,1
839,602,3,0,0.0,1
840,65,3,0,0.0,1
841,679,2,0,0.0,2
842,1357,2,0,0.0,2
843,930,2,0,0.0,2
844,676,2,0,0.0,2
845,475,2,0,0.0,2
846,681,2,0,0.0,2
847,350,2,0,0.0,2
848,594,2,0,0.0,2
849,192,2,0,0.0,2
850,158,2,0,0.0,2
851,1148,2,0,0.0,2
852,914,2,0,0.0,2
853,492,2,0,0.0,2
854,619,2,0,0.0,2
855,1155,2,0,0.0,2
856,1021,2,0,0.0,2
857,850,2,0,0.0,2
858,1040,2,0,0.0,2
859,398,2,0,0.0,2
860,955,2,0,0.0,2
861,530,2,0,0.0,2
862,336,2,0,0.0,2
863,121,2,2,3.0,2
864,1448,2,0,0.0,2
865,269,2,0,0.0,2
866,178,2,0,0.0,2
867,426,2,0,0.0,2
868,801,2,0,0.0,2
869,1168,2,0,0.0,2
870,1084,2,0,0.0,2
871,373,2,0,0.0,2
872,562,2,0,0.0,2
873,558,2,0,0.0,2
874,528,2,0,0.0,2
875,824,2,0,0.0,2
876,924,2,0,0.0,2
877,453,2,0,0.0,2
878,1329,2,0,0.0,2
879,720,2,0,0.0,2
880,127,2,0,0.0,2
881,848,2,0,0.0,2
882,525,2,0,0.0,2
883,862,2,0,0.0,2
884,148,1,0,0.0,1
885,1144,1,0,0.0,1
886,1112,1,0,0.0,1
887,147,1,0,0.0,1
888,1191,1,0,0.0,1
889,1205,1,0,0.0,1
890,1142,1,0,0.0,1
891,131,1,0,0.0,1
892,1204,1,0,0.0,1
893,1202,1,0,0.0,1
894,1132,1,0,0.0,1
895,1200,1,0,0.0,1
896,1192,1,0,0.0,1
897,126,1,0,0.0,1
898,1139,1,0,0.0,1
899,1145,1,0,0.0,1
900,1193,1,0,0.0,1
901,1194,1,0,0.0,1
902,1196,1,0,0.0,1
903,1109,1,0,0.0,1
904,156,1,0,0.0,1
905,152,1,0,0.0,1
906,1183,1,0,0.0,1
907,1113,1,0,0.0,1
908,153,1,0,0.0,1
909,1120,1,0,0.0,1
910,1160,1,0,0.0,1
911,1162,1,0,0.0,1
912,1128,1,0,0.0,1
913,1178,1,0,0.0,1
914,1121,1,0,0.0,1
915,1163,1,0,0.0,1
916,1164,1,0,0.0,1
917,1166,1,0,0.0,1
918,135,1,0,0.0,1
919,1122,1,0,0.0,1
920,1123,1,0,0.0,1
921,1175,1,0,0.0,1
922,154,1,0,0.0,1
923,1167,1,0,0.0,1
924,1125,1,0,0.0,1
925,139,1,0,0.0,1
926,1126,1,0,0.0,1
927,137,1,0,0.0,1
928,1159,1,0,0.0,1
929,142,1,0,0.0,1
930,1179,1,0,0.0,1
931,1117,1,0,0.0,1
932,1147,1,0,0.0,1
933,1149,1,0,0.0,1
934,1129,1,0,0.0,1
935,1115,1,0,0.0,1
936,145,1,0,0.0,1
937,1151,1,0,0.0,1
938,1189,1,0,0.0,1
939,1153,1,0,0.0,1
940,1118,1,0,0.0,1
941,1119,1,0,0.0,1
942,1186,1,0,0.0,1
943,133,1,0,0.0,1
944,1184,1,0,0.0,1
945,143,1,0,0.0,1
946,1127,1,0,0.0,1
947,1182,1,0,0.0,1
948,1181,1,0,0.0,1
949,1180,1,0,0.0,1
950,1137,1,0,0.0,1
951,458,1,0,0.0,1
952,125,1,0,0.0,1
953,1387,1,0,0.0,1
954,61,1,0,0.0,1
955,1379,1,0,0.0,1
956,1381,1,0,0.0,1
957,1382,1,0,0.0,1
958,1384,1,0,0.0,1
959,1386,1,0,0.0,1
960,1388,1,0,0.0,1
961,1210,1,0,0.0,1
962,1389,1,0,0.0,1
963,54,1,0,0.0,1
964,1395,1,0,0.0,1
