From	Entry	Entry Name	Organism (ID)	Organism
P54975	P54975	CRTB_PARSN	81397	Paracoccus sp. (strain N81106 / MBIC 01143) (Agrobacterium aurantiacum)
P27679	P27679	TRI5_GIBPU	5128	Gibberella pulicaris
P21684	P21684	CRTE_PANAN	553	Pantoea ananas (Erwinia uredovora)
P21683	P21683	CRTB_PANAN	553	Pantoea ananas (Erwinia uredovora)
P0CV95	P0CV95	NES2_FRAAN	3747	Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana)
P0CV94	P0CV94	NES1_FRAAN	3747	Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana)
O48935	O48935	TPSBF_MENPI	34256	Mentha piperita (Peppermint) (Mentha aquatica x Mentha spicata)
M5AW86	M5AW86	BCLTS_SHOCL	79880	Shouchella clausii (Alkalihalobacillus clausii)
M2V8C1	M2V8C1	OBLA_COCH5	701091	Cochliobolus heterostrophus (strain C5 / ATCC 48332 / race O) (Southern corn leaf blight fungus) (Bipolaris maydis)
M2U578	M2U578	TPCA_COCH5	701091	Cochliobolus heterostrophus (strain C5 / ATCC 48332 / race O) (Southern corn leaf blight fungus) (Bipolaris maydis)
K0K750	K0K750	BCAS_SACES	1179773	Saccharothrix espanaensis (strain ATCC 51144 / DSM 44229 / JCM 9112 / NBRC 15066 / NRRL 15764)
J7LP58	J7LP58	TPS1_PHYDL	542674	Phyla dulcis (Aztec sweet herb) (Lippia dulcis)
I1S104	I1S104	CLM1_GIBZE	229533	Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum)
H2KWF1	H2KWF1	PAKSY_ORYSJ	39947	Oryza sativa subsp. japonica (Rice)
E4V6I8	E4V6I8	PDSA_ARTGP	535722	Arthroderma gypseum (strain ATCC MYA-4604 / CBS 118893) (Microsporum gypseum)
D5KXJ0	D5KXJ0	CRTB_ENTAG	549	Enterobacter agglomerans (Erwinia herbicola) (Pantoea agglomerans)
C0KWV4	C0KWV4	GRNLG_PERFH	608512	Perilla frutescens var. hirtella (Perilla citriodora) (Perilla setoyensis)
C0KWV3	C0KWV3	LNOLS_PERFH	608512	Perilla frutescens var. hirtella (Perilla citriodora) (Perilla setoyensis)
B6UV92	B6UV92	PSY3_ORYSJ	39947	Oryza sativa subsp. japonica (Rice)
B2DBF1	B2DBF1	PDAC2_PHOAM	1214568	Phomopsis amygdali (Fusicoccum amygdali)
B2DBF0	B2DBF0	PADC1_PHOAM	1214568	Phomopsis amygdali (Fusicoccum amygdali)
B1W019	B1W019	GCOA_STRGG	455632	Streptomyces griseus subsp. griseus (strain JCM 4626 / NBRC 13350)
B0Y5B4	B0Y5B4	PDSA_ASPFC	451804	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10) (Neosartorya fumigata)
B0Y565	B0Y565	AFUMA_ASPFC	451804	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10) (Neosartorya fumigata)
